YdfromEZ,EqPt Value
99,0.742
98,0.797
97,0.806
96,0.827
95,0.842
94,0.853
93,0.866
92,0.877
91,0.899
90,0.908
89,0.91
88,0.914
87,0.932
86,0.942
85,0.951
84,0.991
83,1.062
82,1.141
81,1.176
80,1.179
79,1.186
78,1.188
77,1.192
76,1.233
75,1.243
74,1.27
73,1.306
72,1.35
71,1.407
70,1.446
69,1.489
68,1.514
67,1.55
66,1.566
65,1.579
64,1.608
63,1.629
62,1.643
61,1.711
60,1.746
59,1.756
58,1.794
57,1.835
56,1.839
55,1.916
54,1.942
53,1.979
52,2.008
51,2.067
50,2.095
49,2.168
48,2.219
47,2.271
46,2.286
45,2.341
44,2.377
43,2.413
42,2.477
41,2.58
40,2.62
39,2.712
38,2.815
37,2.88
36,2.924
35,3.061
34,3.088
33,3.15
32,3.226
31,3.301
30,3.334
29,3.409
28,3.491
27,3.572
26,3.645
25,3.706
24,3.782
23,3.826
22,3.842
21,3.887
20,3.898
19,3.976
18,4.031
17,4.065
16,4.134
15,4.253
14,4.28
13,4.313
12,4.34
11,4.382
10,4.411
9,4.457
8,4.576
7,4.752
6,4.854
5,4.993
4,5.201
3,5.394
2,5.484
1,5.625
0,6.963
